Started at  2016-03-11 16:08:49.568533 
Rcpp  version is  0.12.3.2 
RcppArmadillo  version is  0.6.600.2.1 
R version 3.2.3 (2015-12-10) -- "Wooden Christmas-Tree" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"            
  [7] "ASPBay"               "aSPU"                 "BaBooN"               "BacArena"             "BayesComm"            "bayesm"              
 [13] "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"          "biglasso"             "BIPOD"               
 [19] "blockmodels"          "blockseg"             "BTLLasso"             "bvarsv"               "ccaPP"                "cccp"                
 [25] "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [31] "coala"                "coneproj"             "copCAR"               "cord"                 "CoxPlus"              "crawl"               
 [37] "Crossover"            "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRjgqd"      
 [43] "dina"                 "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"               
 [49] "EstHer"               "FastBandChol"         "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"              
 [55] "FIACH"                "fICA"                 "FisHiCal"             "flip"                 "forecast"             "fourPNO"             
 [61] "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"                "GiRaF"               
 [67] "gjam"                 "glamlasso"            "glcm"                 "glmgraph"             "GMCM"                 "gmum.r"              
 [73] "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"              
 [79] "gRim"                 "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "HLMdiag"             
 [85] "HSAR"                 "hsphase"              "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"             
 [91] "iLaplace"             "immer"                "JAGUAR"               "jmcm"                 "jmotif"               "kdecopula"           
 [97] "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"           "markovchain"         
[103] "MAT"                  "matchingMarkets"      "matchingR"            "mcemGLM"              "mcIRT"                "mcmcse"              
[109] "metafolio"            "mets"                 "mev"                  "mirt"                 "mirtCAT"              "miscF"               
[115] "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[121] "Mposterior"           "MRIaggr"              "MRS"                  "msgl"                 "MVB"                  "mvnfast"             
[127] "netcoh"               "netdiffuseR"          "ngspatial"            "NNLM"                 "oem"                  "onlinePCA"           
[133] "PACVB"                "PanelCount"           "pcalg"                "PedCNV"               "phylosignal"          "planar"              
[139] "polyfreqs"            "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                 
[145] "psgp"                 "PWD"                  "quadrupen"            "quanteda"             "rags2ridges"          "Rborist"             
[151] "rcppbugs"             "RcppDE"               "RcppMLPACK"           "RealVAMS"             "redist"               "repolr"              
[157] "resemble"             "revealedPrefs"        "rgam"                 "rmgarch"              "robustgam"            "robustHD"            
[163] "robustreg"            "rotations"            "Rphylopars"           "rstpm2"               "rugarch"              "sbmSDP"              
[169] "SBSA"                 "SelvarMix"            "seqHMM"               "sgd"                  "sglOptim"             "sirt"                
[175] "slfm"                 "smoof"                "snipEM"               "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"          
[181] "SpatialTools"         "SpatPCA"              "spBayesSurv"          "spduration"           "starma"               "stm"                 
[187] "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "SVMMatch"             "synlik"              
[193] "TAM"                  "TauStar"              "TED"                  "textmineR"            "timma"                "treeclim"            
[199] "tsBSS"                "unmarked"             "VarSelLCM"            "zic"                 

RESULT for AbsFilterGSEA_0.1.tar.gz : success (1 of 202, 1 good, 0 bad) -- Now 16:09:26 This 30.8 sec, Avg 30.8 sec, exp. finish in 103.2 min at 17:52:38 on 11-Mar-2016

RESULT for ACEt_1.4.tar.gz : success (2 of 202, 2 good, 0 bad) -- Now 16:10:45 This 78.8 sec, Avg 54.8 sec, exp. finish in 182.7 min at 19:13:24 on 11-Mar-2016

RESULT for AdaptiveSparsity_1.4.tar.gz : success (3 of 202, 3 good, 0 bad) -- Now 16:11:10 This 25.7 sec, Avg 45.1 sec, exp. finish in 149.6 min at 18:40:45 on 11-Mar-2016

RESULT for AHR_1.3.tar.gz : success (4 of 202, 4 good, 0 bad) -- Now 16:11:42 This 31.4 sec, Avg 41.7 sec, exp. finish in 137.6 min at 18:29:16 on 11-Mar-2016

RESULT for Amelia_1.7.4.tar.gz : success (5 of 202, 5 good, 0 bad) -- Now 16:12:43 This 61.6 sec, Avg 45.7 sec, exp. finish in 149.9 min at 18:42:39 on 11-Mar-2016

RESULT for arrApply_1.0.4.tar.gz : success (6 of 202, 6 good, 0 bad) -- Now 16:13:09 This 25.1 sec, Avg 42.2 sec, exp. finish in 137.9 min at 18:31:05 on 11-Mar-2016

RESULT for ASPBay_1.2.tar.gz : success (7 of 202, 7 good, 0 bad) -- Now 16:13:46 This 37 sec, Avg 41.5 sec, exp. finish in 134.8 min at 18:28:35 on 11-Mar-2016

RESULT for aSPU_1.40.tar.gz : success (8 of 202, 8 good, 0 bad) -- Now 16:14:34 This 48.7 sec, Avg 42.4 sec, exp. finish in 137.1 min at 18:31:37 on 11-Mar-2016

RESULT for BaBooN_0.2-0.tar.gz : success (9 of 202, 9 good, 0 bad) -- Now 16:15:15 This 40.9 sec, Avg 42.2 sec, exp. finish in 135.8 min at 18:31:04 on 11-Mar-2016

RESULT for BacArena_1.0.1.tar.gz : success (10 of 202, 10 good, 0 bad) -- Now 16:18:14 This 178.6 sec, Avg 55.9 sec, exp. finish in 178.7 min at 19:16:58 on 11-Mar-2016

RESULT for BayesComm_0.1-2.tar.gz : success (11 of 202, 11 good, 0 bad) -- Now 16:18:50 This 36.2 sec, Avg 54.1 sec, exp. finish in 172.1 min at 19:10:57 on 11-Mar-2016

RESULT for bayesm_3.0-2.tar.gz : success (12 of 202, 12 good, 0 bad) -- Now 16:23:39 This 288.6 sec, Avg 73.6 sec, exp. finish in 233.1 min at 20:16:45 on 11-Mar-2016

RESULT for bayou_1.1.0.tar.gz : success (13 of 202, 13 good, 0 bad) -- Now 16:25:12 This 93 sec, Avg 75.1 sec, exp. finish in 236.6 min at 20:21:46 on 11-Mar-2016

RESULT for bcp_4.0.0.tar.gz : success (14 of 202, 14 good, 0 bad) -- Now 16:26:23 This 71.3 sec, Avg 74.8 sec, exp. finish in 234.5 min at 20:20:52 on 11-Mar-2016

RESULT for bfa_0.3.1.tar.gz : success (15 of 202, 15 good, 0 bad) -- Now 16:27:24 This 61.3 sec, Avg 73.9 sec, exp. finish in 230.4 min at 20:17:50 on 11-Mar-2016

RESULT for BIFIEsurvey_1.8-0.tar.gz : success (16 of 202, 16 good, 0 bad) -- Now 16:30:22 This 177.6 sec, Avg 80.4 sec, exp. finish in 249.3 min at 20:39:39 on 11-Mar-2016

RESULT for biglasso_1.0-1.tar.gz : success (17 of 202, 17 good, 0 bad) -- Now 16:31:20 This 58.1 sec, Avg 79.1 sec, exp. finish in 243.9 min at 20:35:13 on 11-Mar-2016

RESULT for BIPOD_0.2.1.tar.gz : success (18 of 202, 18 good, 0 bad) -- Now 16:32:12 This 52 sec, Avg 77.6 sec, exp. finish in 237.9 min at 20:30:09 on 11-Mar-2016

RESULT for blockmodels_1.1.1.tar.gz : success (19 of 202, 19 good, 0 bad) -- Now 16:33:33 This 81.1 sec, Avg 77.8 sec, exp. finish in 237.2 min at 20:30:46 on 11-Mar-2016

RESULT for blockseg_0.2.tar.gz : success (20 of 202, 20 good, 0 bad) -- Now 16:34:52 This 78.8 sec, Avg 77.8 sec, exp. finish in 236.1 min at 20:30:56 on 11-Mar-2016

RESULT for BTLLasso_0.1-2.tar.gz : success (21 of 202, 21 good, 0 bad) -- Now 16:35:57 This 65.4 sec, Avg 77.2 sec, exp. finish in 233 min at 20:28:57 on 11-Mar-2016

RESULT for bvarsv_1.1.tar.gz : success (22 of 202, 22 good, 0 bad) -- Now 16:36:31 This 33.8 sec, Avg 75.3 sec, exp. finish in 225.8 min at 20:22:19 on 11-Mar-2016

RESULT for ccaPP_0.3.2.tar.gz : success (23 of 202, 23 good, 0 bad) -- Now 16:37:25 This 54 sec, Avg 74.3 sec, exp. finish in 221.8 min at 20:19:12 on 11-Mar-2016

RESULT for cccp_0.2-4.tar.gz : success (24 of 202, 24 good, 0 bad) -- Now 16:39:33 This 128 sec, Avg 76.6 sec, exp. finish in 227.2 min at 20:26:44 on 11-Mar-2016

RESULT for cda_1.5.1.tar.gz : success (25 of 202, 25 good, 0 bad) -- Now 16:40:35 This 62 sec, Avg 76 sec, exp. finish in 224.2 min at 20:24:46 on 11-Mar-2016

