Started at  2016-07-22 14:15:55.930817 
Rcpp  version is  0.12.6.2 
RcppArmadillo  version is  0.7.200.2.0 
R version 3.3.1 (2016-06-21) -- "Bug in Your Hair" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"             "ASPBay"               "aSPU"                
  [9] "BaBooN"               "BacArena"             "BayesComm"            "bayesm"               "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"         
 [17] "biglasso"             "BigVAR"               "BIPOD"                "blockmodels"          "blockseg"             "bootTimeInference"    "BTLLasso"             "bvarsv"              
 [25] "ccaPP"                "cccp"                 "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [33] "coala"                "coneproj"             "copCAR"               "cord"                 "Countr"               "CoxPlus"              "crawl"                "Crossover"           
 [41] "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRimp"        "DiffusionRjgqd"       "dina"                 "dnc"                 
 [49] "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"                "EstHer"               "evolqg"               "FastBandChol"        
 [57] "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"               "FIACH"                "fICA"                 "FisHiCal"             "flip"                
 [65] "forecast"             "fourierin"            "fourPNO"              "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"               
 [73] "GiRaF"                "gjam"                 "glamlasso"            "glcm"                 "glmBfp"               "glmgraph"             "GMCM"                 "Gmedian"             
 [81] "gmum.r"               "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"               "gRim"                
 [89] "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "hkevp"                "HLMdiag"              "HSAR"                 "hsphase"             
 [97] "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"              "iLaplace"             "immer"                "JAGUAR"               "jmcm"                
[105] "jmotif"               "kdecopula"            "KernelKnn"            "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"          
[113] "markovchain"          "MAT"                  "matchingMarkets"      "matchingR"            "MatrixCorrelation"    "mcemGLM"              "mcIRT"                "mcmcse"              
[121] "MESS"                 "metafolio"            "mets"                 "mev"                  "milr"                 "minimaxdesign"        "mirt"                 "mirtCAT"             
[129] "miscF"                "MiSPU"                "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[137] "Mposterior"           "MRS"                  "msgl"                 "MVB"                  "mvcluster"            "mvnfast"              "netcoh"               "netdiffuseR"         
[145] "ngspatial"            "NNLM"                 "NPflow"               "oem"                  "onlinePCA"            "OpenImageR"           "PACVB"                "PanelCount"          
[153] "pcalg"                "PedCNV"               "PenCoxFrail"          "perccal"              "phylocurve"           "phylosignal"          "planar"               "polyfreqs"           
[161] "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                  "psgp"                 "PWD"                  "quadrupen"           
[169] "quanteda"             "rags2ridges"          "ragt2ridges"          "Rborist"              "RcppDE"               "RcppMLPACK"           "rcss"                 "RealVAMS"            
[177] "redist"               "regsem"               "repolr"               "resemble"             "revealedPrefs"        "Rfast"                "rflann"               "rgam"                
[185] "rmgarch"              "robustgam"            "robustHD"             "robustreg"            "roll"                 "rotations"            "Rphylopars"           "rstpm2"              
[193] "rugarch"              "Rvcg"                 "saeRobust"            "SAMM"                 "sbfc"                 "sbmSDP"               "SBSA"                 "SelvarMix"           
[201] "seqHMM"               "sgd"                  "sglOptim"             "sirt"                 "slfm"                 "smoof"                "snipEM"               "sourceR"             
[209] "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"           "SpatialTools"         "SpatMCA"              "SpatPCA"              "spBayesSurv"          "spduration"          
[217] "starma"               "stm"                  "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "surveybootstrap"      "SVMMatch"            
[225] "synlik"               "TAM"                  "TauStar"              "TED"                  "tensorBSS"            "textmineR"            "timma"                "treeclim"            
[233] "tsBSS"                "unmarked"             "VarSelLCM"            "wCorr"                "zic"                 

RESULT for AbsFilterGSEA_1.2.1.tar.gz : failure (1 of 237, 0 good, 1 bad) -- Now 14:16:05 This 3.6 sec, Avg 3.6 sec, exp. finish in 14.3 min at 14:30:23 on 22-Jul-2016

RESULT for ACEt_1.6.8.tar.gz : success (2 of 237, 1 good, 1 bad) -- Now 14:16:35 This 30.6 sec, Avg 17.1 sec, exp. finish in 67.1 min at 15:23:40 on 22-Jul-2016

RESULT for AdaptiveSparsity_1.4.tar.gz : success (3 of 237, 2 good, 1 bad) -- Now 14:16:52 This 16.8 sec, Avg 17 sec, exp. finish in 66.4 min at 15:23:18 on 22-Jul-2016

RESULT for AHR_1.4.1.tar.gz : success (4 of 237, 3 good, 1 bad) -- Now 14:17:26 This 33.5 sec, Avg 21.2 sec, exp. finish in 82.2 min at 15:39:36 on 22-Jul-2016

RESULT for Amelia_1.7.4.tar.gz : success (5 of 237, 4 good, 1 bad) -- Now 14:17:58 This 32.3 sec, Avg 23.4 sec, exp. finish in 90.5 min at 15:48:26 on 22-Jul-2016

RESULT for arrApply_1.0.4.tar.gz : success (6 of 237, 5 good, 1 bad) -- Now 14:18:13 This 15 sec, Avg 22 sec, exp. finish in 84.7 min at 15:42:52 on 22-Jul-2016

RESULT for ASPBay_1.2.tar.gz : success (7 of 237, 6 good, 1 bad) -- Now 14:18:35 This 21.5 sec, Avg 21.9 sec, exp. finish in 84 min at 15:42:37 on 22-Jul-2016

RESULT for aSPU_1.42.tar.gz : success (8 of 237, 7 good, 1 bad) -- Now 14:19:07 This 32.7 sec, Avg 23.3 sec, exp. finish in 88.8 min at 15:47:58 on 22-Jul-2016

RESULT for BaBooN_0.2-0.tar.gz : success (9 of 237, 8 good, 1 bad) -- Now 14:19:46 This 38.6 sec, Avg 25 sec, exp. finish in 94.9 min at 15:54:42 on 22-Jul-2016

RESULT for BacArena_1.5.0.tar.gz : success (10 of 237, 9 good, 1 bad) -- Now 14:21:17 This 90.9 sec, Avg 31.6 sec, exp. finish in 119.4 min at 16:20:43 on 22-Jul-2016

RESULT for BayesComm_0.1-2.tar.gz : success (11 of 237, 10 good, 1 bad) -- Now 14:21:38 This 20.9 sec, Avg 30.6 sec, exp. finish in 115.3 min at 16:16:54 on 22-Jul-2016

RESULT for bayesm_3.0-2.tar.gz : success (12 of 237, 11 good, 1 bad) -- Now 14:23:35 This 116.8 sec, Avg 37.8 sec, exp. finish in 141.7 min at 16:45:17 on 22-Jul-2016

RESULT for bayou_1.1.0.tar.gz : success (13 of 237, 12 good, 1 bad) -- Now 14:24:21 This 46.4 sec, Avg 38.4 sec, exp. finish in 143.5 min at 16:47:53 on 22-Jul-2016

RESULT for bcp_4.0.0.tar.gz : success (14 of 237, 13 good, 1 bad) -- Now 14:24:57 This 35.9 sec, Avg 38.3 sec, exp. finish in 142.2 min at 16:47:11 on 22-Jul-2016

RESULT for bfa_0.3.1.tar.gz : success (15 of 237, 14 good, 1 bad) -- Now 14:25:27 This 30.5 sec, Avg 37.7 sec, exp. finish in 139.7 min at 16:45:08 on 22-Jul-2016

RESULT for BIFIEsurvey_1.9.4-0.tar.gz : success (16 of 237, 15 good, 1 bad) -- Now 14:26:51 This 83.6 sec, Avg 40.6 sec, exp. finish in 149.6 min at 16:56:27 on 22-Jul-2016

RESULT for biglasso_1.0-1.tar.gz : success (17 of 237, 16 good, 1 bad) -- Now 14:27:23 This 32 sec, Avg 40.1 sec, exp. finish in 147.1 min at 16:54:27 on 22-Jul-2016

RESULT for BigVAR_1.0.1.tar.gz : success (18 of 237, 17 good, 1 bad) -- Now 14:27:58 This 34.9 sec, Avg 39.8 sec, exp. finish in 145.3 min at 16:53:18 on 22-Jul-2016

RESULT for BIPOD_0.2.1.tar.gz : success (19 of 237, 18 good, 1 bad) -- Now 14:28:26 This 27.7 sec, Avg 39.2 sec, exp. finish in 142.4 min at 16:50:48 on 22-Jul-2016

RESULT for blockmodels_1.1.1.tar.gz : success (20 of 237, 19 good, 1 bad) -- Now 14:29:07 This 41 sec, Avg 39.3 sec, exp. finish in 142 min at 16:51:09 on 22-Jul-2016

RESULT for blockseg_0.2.tar.gz : success (21 of 237, 20 good, 1 bad) -- Now 14:29:48 This 40.9 sec, Avg 39.4 sec, exp. finish in 141.7 min at 16:51:28 on 22-Jul-2016

