Test of Rcpp 1.1.2.3.3 had 89 successes, 14 failures, and 57 skipped packages. 
Ran from 2026-09-21 07:35:08.16 to 2026-09-21 10:44:49.46 for 3.161 hours 
Average of 71.133 secs relative to 360.712 secs using 6 runners

Failed packages:  cgmguru, ConsTree, Coreset, CVXR, gdalraster, ICESat2VegR, postlink, PROsetta, RcppFastAD, robscale, TreeDist, TreeSearch, TreeTools, xnicher 

Skipped packages:  abn, agcounts, artma, bayeslist, bigrquerystorage, blavaan, bmggum, bmstdr, cbq, chouca, CLVTools, Crossover, DataVisualizations, dbMatrix, dipsaus, eam, EcoEnsemble, fEGarch, FlexReg, greenR, highs, joineRML, joinXL, KeyboardSimulator, MatchIt, mlpack, move, multinma, networkscaleup, OpenMx, pcFactorStan, pema, ProbBreed, ProFAST, profoc, psBayesborrow, QsRutils, RavenR, RcppPlanc, Rfast, riemtan, Rlgt, rlibkriging, rliger, rmBayes, rstanarm, RTL, rts2, RWDataPlyr, SelfControlledCaseSeries, Seurat, spatialGE, starvz, TestDesign, tidynorm, tiledb, warbleR 

None still working

None still scheduled

Error summary:
        package error  note    ok   deadline hasOtherIssues version hasCheckLog hasInstallLog   missingPkg badInstall oldRcppExports callsRfError
         <char> <int> <int> <int>     <char>         <lgcl>  <char>      <lgcl>        <lgcl>       <char>     <lgcl>         <lgcl>       <lgcl>
 1:     cgmguru     0     0    13       <NA>          FALSE   1.3.0        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
 2:    ConsTree     0     0    13       <NA>          FALSE   1.0.0        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before; 'illegal operation'
 3:     Coreset     0     0     9       <NA>          FALSE   1.0.0        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, illegal ops via highs
 4:        CVXR     0     0    13       <NA>          FALSE   1.9.2        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
 5:  gdalraster     4     0     9 2026-09-29          FALSE   2.6.1        TRUE          TRUE                   FALSE          FALSE        FALSE  suspect upstream gdal issue
 6: ICESat2VegR    10     0     3       <NA>          FALSE   0.0.2        TRUE          TRUE                   FALSE          FALSE        FALSE  unclear, possibly upstream
 7:    postlink    13     0     0 2026-09-27           TRUE   0.1.1        TRUE          TRUE                    TRUE          FALSE        FALSE  not a regression, failed before
 8:    PROsetta     0     0    13       <NA>          FALSE   0.4.2        TRUE         FALSE ‘TestDesign’         NA             NA           NA  cannot install TestDesign, illegal ops
 9:  RcppFastAD     0     0    13       <NA>          FALSE   0.0.4        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
10:    robscale     0     0    13       <NA>          FALSE   0.5.4        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
11:    TreeDist     0     0    13       <NA>          FALSE  2.15.0        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
12:  TreeSearch     1     5     7       <NA>          FALSE   1.7.0        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
13:   TreeTools     0     0    12       <NA>          FALSE   2.4.1        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before
14:     xnicher     0     0    13       <NA>          FALSE   1.0.0        TRUE          TRUE                   FALSE          FALSE        FALSE  not a regression, failed before; wants 'pomp'
