
Bad ones:
  countoureR            QH6114 qhull precision error: initial simplex is not convex. Distance=-8.4e-15
  fICA                  xvfb-run error
  FishHical             xvfb-run error
  growcurves            killed
  growfunctions         killed
  pedometrics           Error: Package(s) needed for this function to work but notinstalled: georob
  plyr			xvfb-run error
  rags2ridges           killed
  rivr  		xvfb-run error
  strataG		xvfb-run error
  TESS			xvfb-run error
  textreg		xvfb-run error
