Test of unknown had 1277 successes, 24 failures, and 57 skipped packages. 
Ran from 2018-05-09 01:40:37.63 to 2018-05-09 05:31:54.13 for 3.855 hours 
Average of 10.218 secs relative to 50.528 secs using 5 runners

Failed packages:  Biocomb, catSurv, climdex.pcic, ConConPiWiFun, contoureR, cutpointr, Cyclops, dplyr, fst, gscounts, icosa, iprior, JMcmprsk, magick, multinets, nauf, openxlsx, PhenotypeSimulator, pROC, RClickhouse, rdist, saeRobust, sbrl, sdcMicro 

Skipped packages:  amt, BayesianTools, biofiles, brms, cld2, dynamichazard, estimatr, EWGoF, gkmSVM, glmmsr, gpuR, growcurves, growfunctions, hBayesDM, joineRML, joinXL, kmcudaR, LANDD, lime, lme4, mafs, Mega2R, metacoder, mice, miceadds, Morpho, mrgsolve, nlmixr, partialAR, pcalg, pccc, PLMIX, PReMiuM, raptr, RcppRedis, rDotNet, rFTRLProximal, riskRegression, RmixmodCombi, rmumps, RSQLite, rstanarm, RStoolbox, Rvcg, rvinecopulib, RxODE, SCORPIUS, sdcTable, sf, SmartSVA, sptemExp, supc, svglite, transport, WGCNA, yCrypticRNAs, zstdr 

None still working

None still scheduled

Error summary:
               package missingPkg badInstall error fail warn note ok hasOtherIssue
 1:            Biocomb                 FALSE    10    0    0    0  1         FALSE
 2:            catSurv                 FALSE     0    0    0   12  0          TRUE
 3:       climdex.pcic                 FALSE     0    0    0   12  0         FALSE
 4:      ConConPiWiFun                 FALSE     0    0    0    7  5         FALSE
 5:          contoureR                 FALSE     0    0    0    6  6         FALSE
 6:          cutpointr                 FALSE     0    0    0    0 12         FALSE
 7:            Cyclops                 FALSE     2    0    0    3  7          TRUE
 8:              dplyr                 FALSE    11    0    0    1  0          TRUE
 9:                fst                 FALSE    10    0    0    0  2          TRUE
10:           gscounts                 FALSE     0    0    0    0 12         FALSE
11:              icosa                 FALSE     0    0    0    8  4         FALSE
12:             iprior                 FALSE     0    0    0    4  8         FALSE
13:           JMcmprsk                 FALSE     0    0    0    0 12         FALSE
14:             magick                 FALSE     0    0    3    5  4          TRUE
15:          multinets                 FALSE     0    0    0    0 12         FALSE
16:               nauf                  TRUE    NA   NA   NA   NA NA            NA
17:           openxlsx                 FALSE    11    0    0    0  1         FALSE
18: PhenotypeSimulator                 FALSE    10    0    0    2  0         FALSE
19:               pROC                 FALSE     0    0    0    0 12         FALSE
20:        RClickhouse                  TRUE    NA   NA   NA   NA NA            NA
21:              rdist                 FALSE     1    0    0    0 11          TRUE
22:          saeRobust                 FALSE     0    0    0    0 12         FALSE
23:               sbrl                 FALSE     0    0    0    6  6          TRUE
24:           sdcMicro                 FALSE    10    0    0    0  2          TRUE
               package missingPkg badInstall error fail warn note ok hasOtherIssue
