Test of unknown had 1290 successes, 21 failures, and 55 skipped packages. 
Ran from 2018-06-10 19:44:00.20 to 2018-06-11 03:01:20.18 for 7.289 hours 
Average of 19.209 secs relative to 114.492 secs using 6 runners

Failed packages:  carSurv, catSurv, climdex.pcic, ConConPiWiFun, contoureR, cutpointr, Cyclops, decido, ffstream, gscounts, icosa, iprior, JMcmprsk, multinets, PPforest, pROC, ratematrix, RClickhouse, saeRobust, SpaDES.tools, teachingApps 

Skipped packages:  amt, BayesianTools, biofiles, brms, cld2, cliqueMS, dynamichazard, estimatr, EWGoF, gkmSVM, glmmsr, gpuR, growcurves, growfunctions, hBayesDM, joineRML, joinXL, kmcudaR, LANDD, lime, lme4, mafs, Mega2R, metacoder, mice, miceadds, Morpho, mrgsolve, partialAR, pcalg, pccc, PLMIX, PReMiuM, raptr, RcppRedis, rDotNet, rFTRLProximal, riskRegression, RmixmodCombi, rmumps, RSQLite, rstanarm, RStoolbox, Rvcg, rvinecopulib, SCORPIUS, sdcTable, sf, SmartSVA, sptemExp, supc, svglite, transport, WGCNA, zstdr 

None still working

None still scheduled

Error summary:
          package missingPkg badInstall error fail warn note ok hasOtherIssue
 1:       carSurv                 FALSE     0    0    0    0 12         FALSE
 2:       catSurv                 FALSE     0    0    0   12  0          TRUE
 3:  climdex.pcic                 FALSE     0    0    0   12  0         FALSE
 4: ConConPiWiFun                 FALSE     0    0    0    7  5         FALSE
 5:     contoureR                 FALSE     0    0    0    6  6         FALSE
 6:     cutpointr                 FALSE     0    0    0    0 12         FALSE
 7:       Cyclops                 FALSE     2    0    4    1  5          TRUE
 8:        decido                 FALSE     0    0    0    5  7          TRUE
 9:      ffstream                 FALSE     1    0    0    2  9         FALSE
10:      gscounts                 FALSE     0    0    0    0 12         FALSE
11:         icosa                 FALSE     0    0    0    8  4         FALSE
12:        iprior                 FALSE     0    0    0    3  9         FALSE
13:      JMcmprsk                 FALSE     0    0    0    0 12         FALSE
14:     multinets                 FALSE     0    0    4    0  8         FALSE
15:      PPforest                 FALSE    10    0    0    0  2         FALSE
16:          pROC                 FALSE     0    0    0    0 12         FALSE
17:    ratematrix  ‘mvMORPH’         NA    NA   NA   NA   NA NA            NA  passes once installed
18:   RClickhouse                  TRUE    NA   NA   NA   NA NA            NA
19:     saeRobust                 FALSE     0    0    0    0 12         FALSE
20:  SpaDES.tools                 FALSE    10    0    0    2  0         FALSE
21:  teachingApps   ‘pacman’         NA    NA   NA   NA   NA NA            NA  passes once installed
          package missingPkg badInstall error fail warn note ok hasOtherIssue
