Test of unknown had 1304 successes, 18 failures, and 57 skipped packages. 
Ran from 2018-06-23 21:22:56.77 to 2018-06-24 04:44:18.22 for 7.356 hours 
Average of 19.203 secs relative to 114.427 secs using 6 runners

Failed packages:  catSurv, climdex.pcic, ConConPiWiFun, contoureR, cutpointr, Cyclops, gscounts, icosa, iprior, JMcmprsk, lidR, multinets, pROC, RClickhouse, reticulate, saeRobust, tidyxl, V8 

Skipped packages:  amt, BayesianTools, biofiles, brms, cld2, cliqueMS, dynamichazard, estimatr, EWGoF, gkmSVM, glmmsr, gpuR, growcurves, growfunctions, hBayesDM, joineRML, joinXL, kmcudaR, LANDD, lime, lme4, mafs, Mega2R, metacoder, mice, miceadds, Morpho, mrgsolve, nlmixr, partialAR, pcalg, pccc, PLMIX, PReMiuM, raptr, RcppRedis, rDotNet, rFTRLProximal, riskRegression, RmixmodCombi, rmumps, RSQLite, rstanarm, RStoolbox, Rvcg, rvinecopulib, RxODE, SCORPIUS, sdcTable, sf, SmartSVA, sptemExp, supc, svglite, transport, WGCNA, zstdr 

None still working

None still scheduled

Error summary:
          package missingPkg badInstall error fail warn note ok hasOtherIssue
 1:       catSurv                 FALSE     0    0    0   12  0          TRUE
 2:  climdex.pcic                 FALSE     0    0    0   12  0         FALSE
 3: ConConPiWiFun                 FALSE     0    0    0    7  5         FALSE
 4:     contoureR                 FALSE     0    0    0    6  6         FALSE
 5:     cutpointr                 FALSE     0    0    0    0 12         FALSE
 6:       Cyclops                 FALSE     1    0    0    3  8          TRUE
 7:      gscounts                 FALSE     0    0    0    0 12         FALSE
 8:         icosa                 FALSE     0    0    0    8  4         FALSE
 9:        iprior                 FALSE     0    0    0    3  9         FALSE
10:      JMcmprsk                 FALSE     0    0    0    0 12         FALSE
11:          lidR                 FALSE     1    0    0    4  7         FALSE
12:     multinets                 FALSE     0    0    4    0  8         FALSE
13:          pROC                 FALSE     0    0    0    0 12         FALSE
14:   RClickhouse                  TRUE    NA   NA   NA   NA NA            NA
15:    reticulate                 FALSE     0    0    0    0 12         FALSE
16:     saeRobust                 FALSE     0    0    0    0 12         FALSE
17:        tidyxl                 FALSE     0    0    4    0  8         FALSE
18:            V8                 FALSE     0    0    0    5  7         FALSE
