Test of unknown had 1295 successes, 78 failures, and 60 skipped packages. 
Ran from 2018-09-08 00:02:10.10 to 2018-09-08 07:30:02.28 for 7.464 hours 
Average of 18.752 secs relative to 111.822 secs using 6 runners

Failed packages:  basad, bayesImageS, bcp, bfa, biglasso, bigmemory, bigReg, binnednp, biwavelet, blockmodels, castor, catSurv, cbinom, circumplex, climdex.pcic, ConConPiWiFun, contoureR, CorReg, CoxPlus, cutpointr, Cyclops, DGM, emIRT, EMVS, ETAS, extraDistr, facilitation, fasteraster, fastGHQuad, fDMA, frailtySurv, GAS, gcKrig, geogrid, glmBfp, Gmisc, gscounts, HardyWeinberg, icenReg, icosa, iprior, JMcmprsk, lidR, lpme, MAINT.Data, mcmcse, medfate, meteoland, minimaxdesign, mlvocab, MSGARCH, multdyn, MultiFit, multinets, mwaved, netdiffuseR, nngeo, npsf, packcircles, PAFit, partialCI, pense, precrec, pROC, RClickhouse, recmap, ReIns, rmgarch, robustlmm, rococo, rotations, rtdists, saeRobust, serrsBayes, unmarked, updog, vapour, vegclust 

Skipped packages:  amt, BayesianTools, bgsmtr, biofiles, brms, cld2, cliqueMS, dynamichazard, estimatr, EstMix, EWGoF, gkmSVM, glmmsr, gpuR, growcurves, growfunctions, hBayesDM, joineRML, joinXL, KeyboardSimulator, kmcudaR, LANDD, lime, lme4, mafs, Mega2R, metacoder, mice, miceadds, Morpho, mrgsolve, nlmixr, partialAR, pcalg, pccc, PLMIX, PReMiuM, raptr, RcppRedis, rDotNet, rFTRLProximal, riskRegression, RmixmodCombi, rmumps, Rnmr1D, RSQLite, rstanarm, RStoolbox, Rvcg, rvinecopulib, RxODE, sdcTable, sf, SmartSVA, sptemExp, supc, svglite, transport, WGCNA, zstdr 

None still working

None still scheduled

Error summary:
          package missingPkg badInstall error fail warn note ok hasOtherIssue
 1:         basad                  TRUE    NA   NA   NA   NA NA            NA
 2:   bayesImageS                  TRUE    NA   NA   NA   NA NA            NA
 3:           bcp                  TRUE    NA   NA   NA   NA NA            NA
 4:           bfa                  TRUE    NA   NA   NA   NA NA            NA
 5:      biglasso                  TRUE    NA   NA   NA   NA NA            NA
 6:     bigmemory                  TRUE    NA   NA   NA   NA NA            NA
 7:        bigReg                  TRUE    NA   NA   NA   NA NA            NA
 8:      binnednp                  TRUE    NA   NA   NA   NA NA            NA
 9:     biwavelet                  TRUE    NA   NA   NA   NA NA            NA
10:   blockmodels                  TRUE    NA   NA   NA   NA NA            NA
11:        castor                  TRUE    NA   NA   NA   NA NA            NA
12:       catSurv                 FALSE     0    0    0   12  0          TRUE
13:        cbinom                  TRUE    NA   NA   NA   NA NA            NA
14:    circumplex                  TRUE    NA   NA   NA   NA NA            NA
15:  climdex.pcic                 FALSE     0    0    0    0 12         FALSE
16: ConConPiWiFun                 FALSE     0    0    0    7  5         FALSE
17:     contoureR                 FALSE     0    0    0    6  6         FALSE
18:        CorReg                  TRUE    NA   NA   NA   NA NA            NA
19:       CoxPlus                  TRUE    NA   NA   NA   NA NA            NA
20:     cutpointr                 FALSE     0    0    0    0 12         FALSE
21:       Cyclops                 FALSE     0    0    0    4  8         FALSE
22:           DGM                  TRUE    NA   NA   NA   NA NA            NA
23:         emIRT                  TRUE    NA   NA   NA   NA NA            NA
24:          EMVS                  TRUE    NA   NA   NA   NA NA            NA
25:          ETAS                  TRUE    NA   NA   NA   NA NA            NA
26:    extraDistr                  TRUE    NA   NA   NA   NA NA            NA
27:  facilitation                  TRUE    NA   NA   NA   NA NA            NA
28:   fasteraster                  TRUE    NA   NA   NA   NA NA            NA
29:    fastGHQuad                  TRUE    NA   NA   NA   NA NA            NA
30:          fDMA                  TRUE    NA   NA   NA   NA NA            NA
31:   frailtySurv                  TRUE    NA   NA   NA   NA NA            NA
32:           GAS                  TRUE    NA   NA   NA   NA NA            NA
33:        gcKrig                  TRUE    NA   NA   NA   NA NA            NA
34:       geogrid                  TRUE    NA   NA   NA   NA NA            NA
35:        glmBfp                  TRUE    NA   NA   NA   NA NA            NA
36:         Gmisc                  TRUE    NA   NA   NA   NA NA            NA
37:      gscounts                 FALSE     0    0    0    0 12         FALSE
38: HardyWeinberg                  TRUE    NA   NA   NA   NA NA            NA
39:       icenReg                  TRUE    NA   NA   NA   NA NA            NA
40:         icosa                 FALSE     0    0    1    7  4         FALSE
41:        iprior                 FALSE     0    0    0    3  9         FALSE
42:      JMcmprsk                 FALSE     0    0    0    0 12          TRUE
43:          lidR                  TRUE    NA   NA   NA   NA NA            NA
44:          lpme                  TRUE    NA   NA   NA   NA NA            NA
45:    MAINT.Data                  TRUE    NA   NA   NA   NA NA            NA
46:        mcmcse                  TRUE    NA   NA   NA   NA NA            NA
47:       medfate                  TRUE    NA   NA   NA   NA NA            NA
48:     meteoland                  TRUE    NA   NA   NA   NA NA            NA
49: minimaxdesign                  TRUE    NA   NA   NA   NA NA            NA
50:       mlvocab                 FALSE    10    0    0    2  0         FALSE
51:       MSGARCH                  TRUE    NA   NA   NA   NA NA            NA
52:       multdyn                  TRUE    NA   NA   NA   NA NA            NA
53:      MultiFit                  TRUE    NA   NA   NA   NA NA            NA
54:     multinets                 FALSE     0    0    0    5  7         FALSE
55:        mwaved                  TRUE    NA   NA   NA   NA NA            NA
56:   netdiffuseR                  TRUE    NA   NA   NA   NA NA            NA
57:         nngeo                  TRUE    NA   NA   NA   NA NA            NA
58:          npsf                  TRUE    NA   NA   NA   NA NA            NA
59:   packcircles                  TRUE    NA   NA   NA   NA NA            NA
60:         PAFit                  TRUE    NA   NA   NA   NA NA            NA
61:     partialCI                  TRUE    NA   NA   NA   NA NA            NA
62:         pense                  TRUE    NA   NA   NA   NA NA            NA
63:       precrec                  TRUE    NA   NA   NA   NA NA            NA
64:          pROC                 FALSE     0    0    0    0 12         FALSE
65:   RClickhouse                  TRUE    NA   NA   NA   NA NA            NA
66:        recmap                  TRUE    NA   NA   NA   NA NA            NA
