Test of Rcpp had 1403 successes, 22 failures, and 61 skipped packages. 
Ran from 2018-11-02 10:33:49.87 to 2018-11-02 18:52:48.01 for 8.316 hours 
Average of 20.147 secs relative to 120.198 secs using 6 runners

Failed packages:  catSurv, climdex.pcic, colourvalues, ConConPiWiFun, contoureR, cutpointr, Cyclops, dplyr, gscounts, h5, icosa, iprior, JMcmprsk, multinets, nandb, ncpen, pROC, RClickhouse, reproducible, roxygen2, saeRobust, vapour 

Skipped packages:  amt, BayesianTools, bgsmtr, biofiles, brms, cld2, cliqueMS, dynamichazard, estimatr, EstMix, EWGoF, gkmSVM, glmmsr, gpuR, growcurves, growfunctions, hBayesDM, joineRML, joinXL, KeyboardSimulator, kmcudaR, LANDD, lime, lme4, mafs, Mega2R, metacoder, mice, miceadds, Morpho, mrgsolve, nlmixr, partialAR, pcalg, pccc, PLMIX, PReMiuM, raptr, RcppRedis, rDotNet, rFTRLProximal, riskRegression, RmixmodCombi, rmumps, Rnmr1D, RSQLite, rstanarm, RStoolbox, Rvcg, rvinecopulib, RxODE, sdcTable, sf, SmartSVA, sptemExp, supc, svglite, transport, WeMix, WGCNA, zstdr 

None still working

None still scheduled

Error summary:
          package missingPkg badInstall error fail warn note ok hasOtherIssue
 1:       catSurv                 FALSE     0    0    2   10  0          TRUE
 2:  climdex.pcic                 FALSE     0    0    0    0 12         FALSE
 3:  colourvalues                 FALSE     0    0    0    0 12         FALSE
 4: ConConPiWiFun                 FALSE     0    0    0    3  9         FALSE
 5:     contoureR                 FALSE     0    0    0    2 10         FALSE
 6:     cutpointr                 FALSE     0    0    1    0 11         FALSE
 7:       Cyclops                 FALSE     0    0    0    4  8          TRUE
 8:         dplyr                 FALSE    10    0    0    2  0         FALSE
 9:      gscounts                 FALSE     0    0    1    0 11         FALSE
10:            h5                 FALSE     2    0    1    2  6          TRUE  new, but "excusable" as it tests for NUL in strings
11:         icosa                 FALSE     0    0    2    7  3         FALSE
12:        iprior                 FALSE     1    0    0    3  8         FALSE
13:      JMcmprsk                 FALSE     0    0    1    0 11          TRUE
14:     multinets                 FALSE     0    0    0    5  7         FALSE
15:         nandb                 FALSE     8    0    0    0  4         FALSE
16:         ncpen                  TRUE    NA   NA   NA   NA NA            NA
17:          pROC                 FALSE     1    0    0    0 11         FALSE
18:   RClickhouse                  TRUE    NA   NA   NA   NA NA            NA
19:  reproducible                 FALSE    10    0    0    2  0         FALSE
20:      roxygen2                 FALSE    10    0    0    0  2         FALSE
21:     saeRobust                 FALSE     0    0    1    0 11         FALSE
22:        vapour                 FALSE     2    0    1    2  7         FALSE
          package missingPkg badInstall error fail warn note ok hasOtherIssue
