Test of Rcpp 1.0.6.6.1 had 2159 successes, 56 failures, and 50 skipped packages. 
Ran from 2021-04-06 09:00:46.23 to 2021-04-07 12:27:52.26 for 1.144 days 
Average of 43.632 secs relative to 260.565 secs using 6 runners

Failed packages:  activegp, atakrig, basad, Benchmarking, BGVAR, bigmemory, binnednp, biwavelet, blatent, cbinom, circumplex, collapse, compas, dfphase1, emIRT, facilitation, fad, fasteraster, fixest, FORTLS, fracture, frailtySurv, Gmisc, gwpcormapper, huge, IFC, lavacreg, matrixprofiler, mcmcsae, medfate, multivariance, mwaved, netdiffuseR, nnlib2Rcpp, npsf, oce, OpenMx, PAFit, partialCI, PoissonBinomial, precrec, quanteda.textstats, rayrender, rcosmo, Rdimtools, read.gt3x, recmap, robustlmm, rpf, rstpm2, rtdists, shrinkTVP, smam, supc, svglite, unmarked 

Skipped packages:  amt, BayesianTools, BMTME, brms, cld2, Crossover, DataVisualizations, dipsaus, dynamichazard, estimatr, growfunctions, hBayesDM, IMaGES, joineRML, joinXL, KeyboardSimulator, kmcudaR, lime, lme4, mice, miceadds, mlr3proba, Morpho, mrgsolve, NPMLEmix, odpc, partialAR, pcalg, pccc, PLMIX, PReMiuM, RcppRedis, rDotNet, Rfast, riskRegression, RmixmodCombi, rmumps, RStoolbox, Rvcg, RxODE, sdcTable, sf, Signac, SmartSVA, sparkwarc, transport, vdiffr, vdiffr, warbleR, WGCNA 

None still working

None still scheduled

Error summary:
               package         missingPkg badInstall error fail warn note ok hasOtherIssue
 1:           activegp                          TRUE     0    0    0    0 13         FALSE
 2:            atakrig                          TRUE     0    0    0    6  7         FALSE
 3:              basad                          TRUE     0    0    0    3 10         FALSE
 4:       Benchmarking                          TRUE     0    0    0    0 13         FALSE
 5:              BGVAR                          TRUE     0    0    0    7  6         FALSE
 6:          bigmemory                          TRUE     0    0    0    4  9          TRUE
 7:           binnednp                          TRUE     0    0    0    9  4         FALSE
 8:          biwavelet                          TRUE     0    0    0    1 12         FALSE
 9:            blatent                          TRUE     0    0    0    6  7         FALSE
10:             cbinom                          TRUE     0    0    0    0 13         FALSE
11:         circumplex                          TRUE     0    0    0    0 13         FALSE
12:           collapse                          TRUE     0    0    0    5  8         FALSE
13:             compas                          TRUE     0    0    0    3 10         FALSE
14:           dfphase1                          TRUE     0    0    0    0 13         FALSE
15:              emIRT                          TRUE     0    0    0    6  7          TRUE
16:       facilitation                          TRUE     0    0    0    7  6         FALSE
17:                fad                          TRUE     0    0    0    8  5         FALSE
18:        fasteraster                          TRUE     0    0    0    0 13         FALSE
19:             fixest                          TRUE     0    0    0    7  6         FALSE
20:             FORTLS                          TRUE     0    0    0    4  9         FALSE
21:           fracture                          TRUE     0    0    0    6  7         FALSE
22:        frailtySurv                          TRUE     0    0    0    0 13         FALSE
23:              Gmisc                          TRUE     0    0    0    0 13         FALSE
24:       gwpcormapper 'golem', 'attempt'         NA     0    0    0    4  3         FALSE  passes once installed
25:               huge                          TRUE     0    0    0    3 10         FALSE
26:                IFC                          TRUE     0    0    0   13  0         FALSE
27:           lavacreg                          TRUE     0    0    0    0 13         FALSE
28:     matrixprofiler                          TRUE     0    0    0   13  0         FALSE
29:            mcmcsae                          TRUE     0    0    0    3 10         FALSE
30:            medfate                          TRUE     0    0    0    6  7         FALSE
31:      multivariance                          TRUE     0    0    0    0 13         FALSE
32:             mwaved                          TRUE     0    0    0    0 13         FALSE
33:        netdiffuseR                         FALSE     0    0    0    6  7         FALSE  likely unrelated: malloc
34:         nnlib2Rcpp                          TRUE     0    0    0    8  5         FALSE
35:               npsf                          TRUE     0    0    0    2 11         FALSE
36:                oce                          TRUE     0    0    0    7  6         FALSE
37:             OpenMx                          TRUE     2    0    3    3  5          TRUE
38:              PAFit                          TRUE     0    0    1    0 12         FALSE
39:          partialCI                          TRUE     0    0    0    0 13         FALSE
40:    PoissonBinomial                          TRUE     0    0    0    0 13         FALSE
41:            precrec                          TRUE     0    0    0    0 13         FALSE
42: quanteda.textstats                         FALSE     0    0    0    0 13         FALSE  likely unrelated
43:          rayrender                          TRUE     0    0    0    6  7         FALSE
44:             rcosmo                          TRUE     0    0    1    6  6         FALSE
45:          Rdimtools                         FALSE     0    0    1    9  3         FALSE  likely unrelated to Rcpp
46:          read.gt3x                          TRUE     0    0    0    6  7         FALSE
47:             recmap                          TRUE     0    0    0    6  7          TRUE
48:          robustlmm                          TRUE     0    0    0    5  8          TRUE
49:                rpf                          TRUE     0    0    0    3 10         FALSE
50:             rstpm2                          TRUE     0    0    0    6  7         FALSE
51:            rtdists                          TRUE     0    0    0    0 13         FALSE
52:          shrinkTVP                          TRUE     0    0    0    8  5         FALSE
53:               smam                          TRUE     0    0    0   13  0         FALSE
54:               supc                          TRUE     1    0    0    2 10         FALSE
55:            svglite                          TRUE     0    0    0    0 13         FALSE
56:           unmarked                          TRUE     0    0    0   13  0         FALSE
               package         missingPkg badInstall error fail warn note ok hasOtherIssue
