Test of RcppArmadillo 0.12.6.0.0 had 1045 successes, 36 failures, and 10 skipped packages. 
Ran from 2023-07-22 09:14:09.34 to 2023-07-23 05:45:48.73 for 20.528 hours 
Average of 67.735 secs relative to 383.318 secs using 6 runners

Failed packages:  bayeslm, bayesm, BayesMallows, bayMDS, bpr, BSPBSS, CERFIT, evolqg, factorstochvol, fractalRegression, gamselBayes, kdecopula, lessSEM, lpirfs, mcglm, MendelianRandomization, mets, modeLLtest, MSEtool, multinomineq, pARI, pcoxtime, pecora, penalized, pense, profoc, rcccd, redist, resemble, riskRegression, rstpm2, shrinkDSM, shrinkTVP, Spbsampling, synMicrodata, trajeR 

Skipped packages:  Crossover, DataVisualizations, dynamichazard, growfunctions, joineRML, ProFAST, regmed, Rfast, rlibkriging, stpm 

None still working

None still scheduled

Error summary:
                   package missingPkg badInstall error fail warn note ok hasOtherIssue
 1:                bayeslm                  TRUE     0    0    0   13  0         FALSE
 2:                 bayesm                  TRUE     0    0    2    8  3          TRUE
 3:           BayesMallows                  TRUE     0    0    0    4  9         FALSE
 4:                 bayMDS                  TRUE     0    0    0   10  3         FALSE
 5:                    bpr                  TRUE     0    0    0   10  3         FALSE
 6:                 BSPBSS                  TRUE     0    0    0   13  0         FALSE
 7:                 CERFIT                  TRUE     0    0    0   10  3         FALSE
 8:                 evolqg                 FALSE     9    0    0    0  4         FALSE
 9:         factorstochvol                  TRUE     0    0    0   12  1         FALSE
10:      fractalRegression                  TRUE     0    0    0    4  9         FALSE
11:            gamselBayes                  TRUE     0    0    0    4  9         FALSE
12:              kdecopula                  TRUE     0    0    0    0 13         FALSE
13:                lessSEM                  TRUE     0    0    0   13  0         FALSE
14:                 lpirfs                  TRUE     0    0    0    3 10         FALSE
15:                  mcglm                 FALSE     9    0    0    0  4         FALSE
16: MendelianRandomization                  TRUE     0    0    0    8  5         FALSE
17:                   mets                  TRUE     0    0    0   13  0         FALSE
18:             modeLLtest                  TRUE     0    0    0   12  1         FALSE
19:                MSEtool                  TRUE     0    0    0    8  5         FALSE
20:           multinomineq                  TRUE     1    0    0   11  1         FALSE
21:                   pARI                  TRUE     0    0    0    2 11         FALSE
22:               pcoxtime                  TRUE     0    0    0   10  3         FALSE
23:                 pecora                  TRUE     0    0    0    2 11         FALSE
24:              penalized                  TRUE     0    0    0   12  1         FALSE
25:                  pense                 FALSE     0    0    0    5  8         FALSE
26:                 profoc                  TRUE     0    0    0    4  9         FALSE
27:                  rcccd                  TRUE     2    0    0    0 11         FALSE
28:                 redist                  TRUE     0    0    0    8  5         FALSE
29:               resemble                  TRUE     0    0    0    4  9         FALSE
30:         riskRegression                  TRUE     0    0    0    4  9         FALSE
31:                 rstpm2                  TRUE     0    0    0    4  9         FALSE
32:              shrinkDSM                  TRUE     0    0    0   12  1         FALSE
33:              shrinkTVP                  TRUE     0    0    0   12  1         FALSE
34:            Spbsampling                  TRUE     0    0    0    0 13         FALSE
35:           synMicrodata                  TRUE     0    0    0    0 13         FALSE
36:                 trajeR                  TRUE     0    0    0   12  1         FALSE
                   package missingPkg badInstall error fail warn note ok hasOtherIssue
