
"bayou"         missing 'phytools'
"BIFIEsurvey"   missing 'miceadds' 'tan'
"CDM"           missing 'sirt'
"FDRreg"        missing 'fda'
"flip"          missing 'cherry
"GeneticTools"  missing 'snpStats'

"glcm"          argument 'mode' is missing, with no default
"gmum.r"        .doLoadActions failing -- lots of dependencies here
"GPvam"		argument "mode" is missing, with no default
"growfunctions" argument "mode" is missing, with no default
"HLMdiag"       missing 'RLRsim'
"immer"         missing 'sirt'
"Luminescence"  argument "mode" is missing, with no default

"miceadds"      missing 'TAM' 'sirt'
"Morpho"        argument "mode" is missing, with no default
"pcalg"		argument "mode" is missing, with no default
"prototest"	argument "mode" is missing, with no default
"quanteda"	argument "mode" is missing, with no default
"RealVAMS"      argument "mode" is missing, with no default
"RStoolbox"     argument "mode" is missing, with no default

"sirt"          missing 'TAM' 'mirt'
"SpatialEpi"	argument "mode" is missing, with no default
"stplanr"       missing 'rgdal'
"TAM"           missing 'msm'
"unmarked"      argument "mode" is missing, with no default
