"pkg","res"
"1","AbsFilterGSEA","ok"
"2","acc","ok"
"3","acebayes","ok"
"4","ACEt","ok"
"5","AdaptiveSparsity","ok"
"6","AHR","ok"
"7","Amelia","ok"
"8","anMC","ok"
"9","arrApply","ok"
"10","ASPBay","ok"
"11","attrCUSUM","ok"
"12","BaBooN","ok"
"13","BacArena","ok"
"14","BAMBI","ok"
"15","Barycenter","ok"
"16","BatchMap","ok"
"17","BayesBD","ok"
"18","BayesComm","ok"
"19","bayesDP","ok"
"20","bayesImageS","ok"
"21","bayesm","ok"
"22","bayou","ok"
"23","bcp","ok"
"24","bcROCsurface","ok"
"25","bcs","ok"
"26","BCSub","ok"
"27","bfa","ok"
"28","bife","ok"
"29","BIFIEsurvey","ok"
"30","bigKRLS","ok"
"31","biglasso","ok"
"32","bigReg","ok"
"33","BigVAR","ok"
"34","BIPOD","ok"
"35","blockmodels","ok"
"36","blockseg","ok"
"37","BTLLasso","ok"
"38","BuyseTest","ok"
"39","bvarsv","ok"
"40","ccaPP","ok"
"41","cccp","ok"
"42","cctools","ok"
"43","cda","ok"
"44","CDM","ok"
"45","CFC","ok"
"46","ChannelAttribution","ok"
"47","CircularDDM","ok"
"48","cIRT","ok"
"49","cladoRcpp","ok"
"50","ClusterR","ok"
"51","coala","ok"
"52","coneproj","ok"
"53","copCAR","ok"
"54","cord","ok"
"55","Countr","ok"
"56","CoxPlus","ok"
"57","cpr","ok"
"58","cqrReg","ok"
"59","crawl","ok"
"60","Crossover","ok"
"61","ctmcd","ok"
"62","CVR","ok"
"63","DepthProc","ok"
"64","dfcomb","ok"
"65","dfmta","ok"
"66","diagis","ok"
"67","DiffusionRgqd","ok"
"68","DiffusionRimp","ok"
"69","DiffusionRjgqd","ok"
"70","dina","ok"
"71","dnc","ok"
"72","drgee","ok"
"73","dynamichazard","ok"
"74","ECctmc","ok"
"75","eDMA","ok"
"76","EloChoice","ok"
"77","EMbC","ok"
"78","emIRT","ok"
"79","EPGLM","ok"
"80","esaddle","ok"
"81","EstHer","ok"
"82","eulerr","ok"
"83","evolqg","ok"
"84","factorcpt","ok"
"85","factorstochvol","ok"
"86","FastBandChol","ok"
"87","fastHorseshoe","ok"
"88","fastM","ok"
"89","FBFsearch","ok"
"90","fdaMixed","ok"
"91","fdasrvf","ok"
"92","FDRreg","ok"
"93","FIACH","ok"
"94","fICA","ok"
"95","FisHiCal","ok"
"96","flan","ok"
"97","FLightR","ok"
